Sublevel Name,PP
COVID,1.3609004842560077
COVID,1.356652030638604
COVID,1.3566346062258785
COVID,1.3700170676452894
COVID,1.3566224863672316
COVID,1.3563791674273575
COVID,1.3564213719171438
COVID,1.3565363904419478
COVID,1.356574418868338
COVID,1.3569091612056272
COVID,1.358783276955705
COVID,1.3580081434783309
COVID,1.3566493475091579
COVID,1.372332615295439
COVID,1.3566749200334522
COVID,1.3566774619317201
COVID,1.356414532640773
COVID,1.3595411068979677
COVID,1.3566955868576822
COVID,1.3566306314405507
COVID,1.3566239647478608
COVID,1.3566703445962802
COVID,1.3565244942645585
COVID,1.358140212786621
COVID,1.3589091418381758
COVID,1.3566752718722064
COVID,1.356551653641995
COVID,1.3564168623901813
COVID,1.3566124250257239
COVID,1.3566281213423483
COVID,1.356567116765599
COVID,1.356482451830359
COVID,1.3568934152790826
COVID,1.356586393188902
COVID,1.3655776781595514
COVID,1.358156163586808
COVID,1.3566323718518993
COVID,1.3566100755052792
COVID,1.3566093383944653
COVID,1.3566232662278668
COVID,1.3565058485310715
COVID,1.3587426252318577
COVID,1.3568852640541804
COVID,1.3566100755052792
COVID,1.3646727663783529
COVID,1.356260802205202
COVID,1.356791581219799
COVID,1.3565557183902466
COVID,1.3566155465607945
COVID,1.3564220236188536
COVID,1.3580058758430442
COVID,1.3566204359774687
COVID,1.3580619875042184
COVID,1.35667215569141
COVID,1.3759655025621131
COVID,1.3564170060760774
COVID,1.3565952706862516
COVID,1.3565567016062277
COVID,1.356435340405321
COVID,1.3564989619345535
COVID,1.360268554250871
COVID,1.3565688225364485
COVID,1.3565553867792257
COVID,1.3566535232445904
COVID,1.3568800320609802
COVID,1.3566004501503035
COVID,1.3569516743274375
COVID,1.3577988579394327
COVID,1.3572836248546527
COVID,1.3564475679153605
COVID,1.3568641913255197
COVID,1.356698564942164
COVID,1.3565414055403957
COVID,1.3566508271382043
COVID,1.356459185231616
COVID,1.3566474297681925
COVID,1.358000633164974
COVID,1.3565479667853206
COVID,1.3566242796626475
COVID,1.3565528280552557
COVID,1.356548169540401
COVID,1.3565768084230216
COVID,1.3567144668676552
COVID,1.3575547267945756
COVID,1.356608572909982
COVID,1.3565959172788231
COVID,1.3565873747531603
COVID,1.3608839561909238
COVID,1.3605937360378637
COVID,1.3565504390300585
COVID,1.3566594553046913
COVID,1.3566106744834034
COVID,1.3569506968067955
COVID,1.356551037616486
COVID,1.3564235702040104
COVID,1.3616540375615287
COVID,1.3566243814118684
COVID,1.3564985764031072
COVID,1.360784916947259
COVID,1.3566101996275128
COVID,1.3565973685235688
COVID,1.3565607740184014
COVID,1.3613258834885333
COVID,1.3564014089600067
COVID,1.3566245155959318
COVID,1.3566115142054027
COVID,1.356533983958934
COVID,1.3566904832909168
COVID,1.356703195803691
COVID,1.3566367541211926
COVID,1.3577771298664243
COVID,1.3566183068020705
COVID,1.3710302063441526
COVID,1.3566378278367914
COVID,1.3769130472524567
COVID,1.3582697718730723
COVID,1.3572827293050922
COVID,1.3566958342981001
COVID,1.3563958335073336
COVID,1.3566037696848148
COVID,1.3571150264845364
COVID,1.357410597056336
COVID,1.3566703445962802
COVID,1.3567247384464467
COVID,1.3565985187758276
COVID,1.3566115443400322
COVID,1.363916915780175
COVID,1.3568336757894874
COVID,1.3566680737811958
COVID,1.3565563215475465
COVID,1.3565891667793
COVID,1.3577278682343399
COVID,1.3565861493448863
COVID,1.3566168117040454
COVID,1.3566281213423483
COVID,1.3565552766489106
COVID,1.356566039567991
COVID,1.3566189033903333
COVID,1.3565610411170044
COVID,1.3567918757695818
COVID,1.3761125759808992
COVID,1.3567048845721537
COVID,1.3566519427878103
COVID,1.3565544880326956
COVID,1.35661175351796
COVID,1.3564584833701558
COVID,1.3566323076470161
COVID,1.356626584543719
COVID,1.356580330647958
COVID,1.356507261578301
COVID,1.3566608702662184
COVID,1.3565587218690012
COVID,1.357531947807438
COVID,1.3565734113500452
COVID,1.3565665233427393
COVID,1.356586393188902
COVID,1.3565505872307106
COVID,1.3566153308735127
COVID,1.35660130955808
COVID,1.3565500932220071
COVID,1.3574367907007006
COVID,1.3566809512152165
COVID,1.3565705139309416
COVID,1.3570739412370847
COVID,1.3566093383944653
COVID,1.356578937708169
COVID,1.3571960905155298
COVID,1.3566237107664287
COVID,1.3564177290906052
COVID,1.3569618431164725
COVID,1.3569740683029723
COVID,1.363970133366257
COVID,1.35657511054601
COVID,1.3566103604833692
COVID,1.3565265437197893
COVID,1.3566427290358538
COVID,1.356719426164866
COVID,1.3614248506110038
COVID,1.356523647226204
COVID,1.356284035604266
COVID,1.3566578779193497
COVID,1.3592714786562534
COVID,1.3567234974609368
COVID,1.3565861528095582
COVID,1.3566256463414823
COVID,1.3581373097405864
COVID,1.3683452684189115
COVID,1.3565177758177525
COVID,1.3565870436624115
COVID,1.356632826934597
COVID,1.3588460424840023
COVID,1.3588524922760643
COVID,1.356577957639115
COVID,1.3625837932173832
COVID,1.3566735448044396
COVID,1.3566411934602893
COVID,1.3569126837333763
COVID,1.3566435595492106
COVID,1.3736754965227722
COVID,1.356383990193535
