Sublevel Name,rep
Nidovirales,111.77611077804113
Nidovirales,111.63570232897976
Nidovirales,111.64614465838953
Nidovirales,108.79532179939227
Nidovirales,111.48669940435869
Nidovirales,111.79758129995324
Nidovirales,111.70020068806686
Nidovirales,111.57733862969037
Nidovirales,111.57932387528247
Nidovirales,111.44441976917192
Nidovirales,111.716808173907
Nidovirales,111.7689480485726
Nidovirales,111.6763234079023
Nidovirales,111.8041801264698
Nidovirales,111.62184909301408
Nidovirales,111.67399942429337
Nidovirales,111.65561614859925
Nidovirales,111.67663080088096
Nidovirales,111.63234914291797
Nidovirales,111.67399942429337
Nidovirales,111.70121555819954
Nidovirales,111.47840414671049
Nidovirales,111.56371911758347
Nidovirales,111.76784616637964
Nidovirales,111.57448937333446
Nidovirales,111.80682151022222
Nidovirales,111.62648901158639
Nidovirales,111.48574004180061
Nidovirales,111.76087723430507
Nidovirales,111.57709083241907
Nidovirales,111.27776031697886
Nidovirales,111.64510510433205
Nidovirales,111.68543133192182
Nidovirales,111.48631030880293
Nidovirales,111.19916099037785
Nidovirales,111.51966529498502
Nidovirales,111.69031755394096
Nidovirales,111.82183533622828
Nidovirales,111.64316399018763
Nidovirales,111.6251951559184
Nidovirales,111.74768955986816
Nidovirales,111.46157709428273
Nidovirales,111.67708422078074
Nidovirales,111.65119820227319
Nidovirales,111.32651846757479
Nidovirales,111.59978956515661
Nidovirales,111.54003461727548
Nidovirales,111.58242230637892
Nidovirales,109.79417246406314
Nidovirales,111.70105411195027
Nidovirales,110.3433875201739
Nidovirales,111.31036546919164
Nidovirales,111.5300492091529
Nidovirales,111.48861569473361
Nidovirales,111.66463026483031
Nidovirales,111.70240823653761
Nidovirales,111.48515420692083
Nidovirales,111.49236394891808
Nidovirales,111.57326770967765
Nidovirales,111.78819825304147
Nidovirales,111.72166820541457
Nidovirales,111.00976989867345
Nidovirales,111.71838733777065
Nidovirales,111.66985327996044
Nidovirales,111.56966796815199
Nidovirales,111.34296870739001
Nidovirales,111.72356418559552
Nidovirales,111.68108732936436
Nidovirales,109.16772034063382
Nidovirales,111.49180816666673
Nidovirales,111.6496577023964
Nidovirales,111.40362268403186
Nidovirales,111.75933044622866
Nidovirales,109.40978732980639
Nidovirales,111.62367746072582
Nidovirales,111.74268569321225
Nidovirales,110.16202607546286
Nidovirales,111.72312770424972
Nidovirales,111.53630187973864
Nidovirales,111.84137609047661
Nidovirales,111.78229753575626
Nidovirales,111.67294868793294
Nidovirales,111.42681471970445
Nidovirales,109.89164323534212
Nidovirales,111.70972003734745
Nidovirales,111.48777146374894
Nidovirales,111.48360984524619
Nidovirales,111.69512297710979
Nidovirales,111.48360984524619
Nidovirales,111.32447758974175
Nidovirales,111.4562746252686
Nidovirales,111.65122881537648
Nidovirales,111.71408704285352
Nidovirales,110.32155328313021
Nidovirales,111.48121379837653
Nidovirales,111.18604605342883
Nidovirales,111.46157709428273
Nidovirales,111.69435008746925
Nidovirales,111.6969668900387
Nidovirales,111.53563751518776
