Sublevel Name,pp
COVID,111.90474331908337
COVID,111.62020193123502
COVID,111.7497595651786
COVID,109.56612962696613
COVID,111.53480580507812
COVID,111.61381788961927
COVID,111.69115159358941
COVID,111.53727771405615
COVID,111.59644067643809
COVID,111.56403360634478
COVID,111.7378396932769
COVID,111.26573534400954
COVID,111.65683603662166
COVID,111.6504492930406
COVID,111.75942727904855
COVID,111.68641265800895
COVID,111.63105543530622
COVID,111.64095922916245
COVID,111.84137609047661
COVID,109.88084931544235
COVID,111.71838733777065
COVID,111.83993334538455
COVID,111.67258043984411
COVID,111.22854319780511
COVID,111.55215876801202
COVID,111.5839410057117
COVID,111.63295653677703
COVID,111.65974232143216
COVID,111.70647995275621
COVID,111.59283390548431
COVID,111.48360984524622
COVID,111.49981227031549
COVID,111.66652460393648
COVID,111.68545935906234
COVID,111.6410097186884
COVID,111.69844343068642
COVID,111.66619888428384
COVID,111.7790478215812
COVID,111.68701292794212
COVID,111.54463884977525
COVID,111.66826065813383
COVID,111.6906990452088
COVID,111.52941178329904
COVID,111.59163374508785
COVID,111.64469212482459
COVID,111.48360984524622
COVID,111.73743184705292
COVID,111.6496577023964
COVID,111.74468980650472
COVID,111.64469212482459
COVID,111.65396631590623
COVID,111.66956321571017
COVID,111.89399127278224
COVID,111.76602438347133
COVID,111.67104252923767
COVID,111.48121379837653
COVID,111.69742797206237
COVID,111.5299443704679
COVID,111.59548548325654
COVID,111.6496577023964
COVID,111.76087069143837
COVID,111.51281941578088
COVID,111.7308261317727
COVID,111.7356017478268
COVID,111.36600017442674
COVID,111.49604849692447
COVID,111.68036920358183
COVID,111.61813708818113
COVID,111.38087025210682
COVID,111.52892221993577
COVID,109.79375915231215
COVID,111.57382183271508
COVID,111.80461182066895
COVID,111.62058705497878
COVID,111.61943236291778
COVID,111.6889317645598
COVID,111.45871182075685
COVID,111.52308497148256
COVID,111.30480745381861
COVID,111.76793206395519
COVID,111.75129861002017
COVID,111.6594424421882
COVID,111.63528788451387
COVID,111.6459171466625
COVID,111.67399942429336
COVID,111.18271140318429
COVID,111.78229753575626
COVID,111.58425297546034
COVID,111.663325724151
COVID,111.67376676331877
COVID,111.69048093056182
COVID,111.7296694317484
COVID,111.78515653967129
COVID,111.67702294619708
COVID,111.48581893669137
COVID,111.68294618951649
COVID,111.67142160103934
COVID,111.84271159478257
COVID,111.76438344274119
COVID,111.5892431686534
COVID,111.48391169340454
COVID,111.67294868793294
COVID,111.4776362427224
COVID,111.67709953077
COVID,111.3519040400268
COVID,111.69113820164753
COVID,110.77967013755129
COVID,111.76199976552941
COVID,111.64849906143615
COVID,111.63113750254813
COVID,111.49248703997792
COVID,111.49772158136554
COVID,111.62336078846475
COVID,111.72713191421163
COVID,111.73263533390143
COVID,111.63957270596876
COVID,111.70349892066204
COVID,111.6799989733127
COVID,111.70105411195027
COVID,111.67100712852853
COVID,111.6413757679118
COVID,111.69229503499882
COVID,111.64793649335131
COVID,111.65212154855651
COVID,109.98350746304428
COVID,111.689242730622
COVID,111.64828696964473
COVID,111.61904310528335
COVID,111.66215353248342
COVID,111.79480660096489
COVID,111.44717543750488
COVID,111.57270336517621
COVID,111.81882260005794
COVID,111.68664163899827
COVID,111.7748332993898
COVID,111.30601035756001
COVID,111.64640826119894
COVID,111.59719517606756
COVID,111.48621191779982
COVID,110.91225613822105
COVID,111.53909267941684
COVID,111.60516205404379
COVID,111.67258043984411
COVID,111.64248061627356
COVID,111.31174433043137
COVID,111.58953380577853
COVID,111.67489821485933
COVID,111.55331336244973
COVID,111.57939983291422
COVID,110.66640271753288
COVID,111.51885082982584
COVID,111.68959694560736
COVID,111.64469212482459
COVID,111.48360984524622
COVID,111.72191241403979
COVID,111.31737006870823
COVID,111.76558659983215
COVID,111.50761773558459
COVID,111.65985578563233
COVID,111.62278108807787
COVID,111.76929447188493
COVID,111.69664603694906
COVID,111.67669920099338
COVID,111.60231404062726
COVID,110.18475132049781
COVID,111.4310259262181
COVID,111.43019821520397
COVID,111.82793463883414
COVID,111.66299909688946
COVID,109.13038949713307
COVID,111.71982300651322
COVID,111.63666141078315
COVID,111.61788844516563
COVID,111.68964763715552
COVID,111.29754210249739
COVID,111.62522391703679
COVID,111.72708596628975
COVID,111.6799798508432
COVID,111.31583446844319
COVID,111.54918534038883
COVID,111.72839246122517
COVID,111.69077585234598
COVID,111.75283848761794
COVID,111.7361276877403
COVID,111.14925279601134
COVID,111.53016780497326
COVID,111.48602472561686
COVID,111.67105334871081
COVID,111.66005522590066
COVID,111.67104252923767
COVID,111.66001793594681
COVID,111.58258576106995
COVID,111.58088189053116
COVID,111.58007329659605
COVID,111.64507552823618
COVID,111.48360984524622
COVID,111.68020169788818
COVID,111.67551087972099
COVID,111.64329829001129
COVID,111.75188337760487
