Family,int2,Real,EIIP,PP,JustA,JustG
Varidnaviria,441.51332317311136,586.4053293679254,6.317200841532141,408.5104584125177,200.78688205367862,121.71073532946359
Varidnaviria,149.78456247083608,170.0559815926263,3.1845046527216514,134.54760322469733,55.346992868624184,60.595010890028206
Varidnaviria,813.6871190269525,1041.752044373985,13.198212576853916,741.1146650552116,357.43020531306695,258.0693172137356
Varidnaviria,307.3954226588246,372.1477817904905,5.631339844799587,275.30645006657323,126.7411391281043,108.99474166920021
Varidnaviria,130.03037848268434,155.23065070920924,2.5180838888814,116.37233788325764,52.81893243147672,47.87405034440851
Varidnaviria,87.68183945449466,108.54497714358465,1.7230214310056324,77.67407368521634,37.70287663314328,32.638210421853785
Varidnaviria,233.60370362654422,267.2579720376882,4.850616796966205,208.36618684773612,86.40430359164131,93.09470843289134
Varidnaviria,126.89460117481462,144.6998861216592,2.695610463305892,114.10133537079764,47.188193119571636,51.036848684745564
Varidnaviria,347.809572569594,432.4832904827263,6.038434514574155,313.5437956859289,148.4624640322873,117.17231349715775
Varidnaviria,310.9208603876535,377.20217852465447,5.686553749230679,278.5516521578587,128.530608586997,110.08288205988714
Varidnaviria,125.8771964642597,155.8885029997347,2.2645376578810157,113.9840747688007,53.915858341540634,42.820158444840644
Varidnaviria,382.4036569662568,444.478606266243,7.585426184804461,339.57742259257816,146.96633254275886,146.87958787045525
Varidnaviria,152.13371879356254,174.1165970826964,3.163318602142653,136.49134233483147,57.62990234896452,60.24712056797781
Varidnaviria,300.57344315564177,363.0241305735705,5.514450354408244,268.77509659055323,123.62096786450861,106.68167579974504
Varidnaviria,316.2595862394265,383.5252492762695,5.765661569326905,283.15215011337756,130.66483682205387,111.61996996316994
Varidnaviria,132.04637547177663,153.70226111122133,2.64937285727853,117.79631149614472,51.73410022101288,50.38078680202727
Varidnaviria,152.70651140540193,173.3493037263704,3.195815295408941,136.93636481672263,56.54228966458084,60.78900748930405
Varidnaviria,88.43476692673552,109.5223442519596,1.7662259375350122,78.53076193939452,38.13334924755131,33.550710152199514
Varidnaviria,245.17811498116586,286.9069007066556,4.911339048912933,219.65077511533778,95.49576476965939,94.60492960349228
Varidnaviria,129.46826962745877,145.91556784211642,2.79522891242849,116.60144033037645,46.78692199294352,52.89485643887236
Varidnaviria,454.4405209549184,578.1440217453128,7.505129180950276,411.7803573929698,198.21867067742713,146.0151630797916
Varidnaviria,131.59358912879694,152.71350313090096,2.65600273643294,117.56094332735854,51.21699523626505,50.44716085230636
Varidnaviria,228.56394677798883,264.02075075111355,4.777474861765515,203.9125051022258,86.06459117112604,91.90700427387502
Varidnaviria,282.45353164979696,323.0658783419609,5.715407711203454,249.8731265675452,106.22717177731361,110.1914650036226
Varidnaviria,340.05091726194877,423.82485100866893,6.0728708621921275,306.8848854732797,145.96077664647459,118.17889125488414
Varidnaviria,314.1511852090475,381.86113461842876,5.712420119365445,281.4627305768934,130.1948881087944,110.57816676456159
Varidnaviria,133.95488410154726,165.09026202257894,2.448661529648547,120.62122535278796,56.88525996345063,46.55212112918054
Varidnaviria,309.0631220933303,374.8003189823872,5.65600487615454,276.7306698818096,127.44006772543061,109.46980390813208
Varidnaviria,332.45366419909703,433.29285316006064,5.1161123959243735,304.7848471614465,149.05087342101115,98.72027932286174
Varidnaviria,126.89460117481462,144.6998861216592,2.695610463305892,114.10133537079764,47.188193119571636,51.036848684745564
Varidnaviria,148.840736585343,171.06022619983094,3.104144122586258,133.25739518386405,56.676858849730955,59.11580573962172
Varidnaviria,132.78557803869552,151.49445326387598,2.760820006947124,118.5515027161241,50.148347268913234,52.40475207105581
Varidnaviria,319.05587570579684,386.83538335392547,5.821948098734296,285.94415170980096,131.8334043374729,112.72043222745815
Varidnaviria,773.3399402240685,1004.9048759017115,11.952327395089872,709.2243509678229,344.3432100875374,233.03501789467035
Varidnaviria,136.31399527138504,155.454049260097,2.9268032501036307,123.343029090254,50.2836986794697,55.49286397089617
Varidnaviria,309.5793397911979,375.42278119930467,5.664838670422917,277.5639451832647,127.92028719583239,109.61765909065414
Varidnaviria,424.64326426336794,564.8161206047705,6.048370870946149,393.2417117896496,193.29609564936752,116.35446217988417
Varidnaviria,149.19960700822443,169.28000796743135,3.170965084278249,134.09921164764924,55.09909753412523,60.30245016876891
Varidnaviria,522.4601830244458,678.0283606456373,8.145046426383095,479.53679501483,231.71936530105214,157.9711124273291
Varidnaviria,126.08217899049538,145.66524192882753,2.6289013010785345,113.25242293796524,48.384213023628035,49.909695927186114
Varidnaviria,231.04114601945315,266.9453445513614,4.822639944673343,206.28944337958836,87.00160030138362,92.77136666854587
Varidnaviria,129.26655961665764,152.05803466552786,2.593286059054774,115.89469175338375,51.58526322583168,49.32545844211555
Varidnaviria,134.94732477809353,151.6462263195469,2.9635749344290154,122.73188343218482,47.81508205217027,56.03389074561375
Varidnaviria,89.03639012644537,110.25442835054727,1.7717542040164718,78.95478454441286,38.40325191674222,33.66950097804572
