,Sublevel Name,fd_std,magtropy,avg_magnitude,entropy
0,Varidnaviria,1.1706265839004024,5.4550582561882095,7.37029407130978,1.3510935585241333
1,Varidnaviria,1.1706265839004024,3.0865667258441607,4.18838726459731,1.3569728558036622
2,Varidnaviria,1.1706265839004024,5.175783816582209,7.044996860917168,1.3611458883476473
3,Varidnaviria,1.1703347503025925,3.4077590489685705,4.525516048960281,1.328003530745527
4,Varidnaviria,1.1703347503025925,4.399464181941916,6.091929695222079,1.3846981003339165
5,Varidnaviria,1.102234576643792,3.6489484128561935,4.915115114243251,1.3469949580339429
6,Varidnaviria,1.102234576643792,7.277642698721353,10.008193208277149,1.3751971101900258
7,Varidnaviria,1.102234576643792,2.148150417321744,2.851219406849576,1.3272903907745897
8,Varidnaviria,1.102234576643792,3.6055567815495286,4.853466564293346,1.346107372134496
9,Varidnaviria,1.102234576643792,2.8366394624224966,3.9189476462720103,1.3815459095831728
10,Varidnaviria,1.1009917547082555,3.5676105567324035,4.904848125281927,1.374827226033973
11,Varidnaviria,1.099754550768568,3.7981766934864623,5.106345075803538,1.3444200962426176
12,Varidnaviria,1.1212511289812066,3.0932030792299057,4.236482869067459,1.3696103232000498
13,Varidnaviria,1.1212511289812066,6.540358663993764,8.302333151675397,1.2694002849387638
14,Varidnaviria,1.1203104163269697,2.753552431449982,3.7489849836239495,1.3615084793027843
15,Varidnaviria,1.118702264545577,6.4691693018531415,8.64178294043831,1.3358412088493044
16,Varidnaviria,1.1179060157531249,4.257118840665428,5.8156380403193255,1.3660971793332146
17,Varidnaviria,1.1179060157531249,2.8602560932714844,3.9428430080309615,1.3784930018351065
18,Varidnaviria,1.1178726952368059,3.7404624746698287,5.136561645855287,1.3732423946610215
19,Varidnaviria,1.1178726952368059,6.350717892195218,8.539577140113831,1.3446632782427064
20,Varidnaviria,1.1178726952368059,3.6602149774162114,4.939580721057705,1.3495329513526593
21,Varidnaviria,1.1178726952368059,5.1551929656336535,6.920030017377182,1.3423416084535649
22,Varidnaviria,1.1451339814686368,6.172965300717712,8.34614088925929,1.3520472710722853
23,Varidnaviria,1.1448086774586286,3.027990579966098,4.175272948631754,1.378892317649978
24,Varidnaviria,1.1441554548023272,2.8169762128002738,3.761729562617095,1.3353785330255483
25,Varidnaviria,1.1441554548023272,4.039167211135113,5.374894411248188,1.3306937124144709
26,Varidnaviria,1.145760276555006,3.664660033358469,4.982824470371446,1.3596962405827715
27,Varidnaviria,1.145760276555006,3.0466057755753675,4.199449063209438,1.3784025149812336
28,Varidnaviria,1.145760276555006,6.404968848060004,8.693545908836407,1.3573127543734411
29,Varidnaviria,1.1670829226911674,3.4175996018814168,4.716846503326131,1.3801635805228525
30,Varidnaviria,1.1647979148182923,2.901370877094997,3.9600736620930026,1.3648974329190322
31,Varidnaviria,1.164315013623325,3.6531417969776467,4.85682692366553,1.329493130456564
32,Varidnaviria,1.164315013623325,3.3139643288735825,4.5844661178400665,1.3833782331019624
33,Varidnaviria,1.164315013623325,5.539773010066629,7.527572025372231,1.3588231885482422
34,Varidnaviria,1.164315013623325,2.5345552765350496,3.3901233274863887,1.3375614092429553
35,Varidnaviria,1.164315013623325,5.437577776897249,7.435272582775839,1.3673868931799449
36,Varidnaviria,1.164315013623325,2.9543903837283634,4.088323189548723,1.383812786578789
37,Varidnaviria,1.1641754725838054,2.5043825414497407,3.3566885961229738,1.3403258250554042
38,Varidnaviria,1.1641754725838054,3.9434878253932135,5.2973193882285585,1.3433081634277269
39,Varidnaviria,1.1672160388330979,3.6057098122289535,4.881344324346542,1.3537818012395804
40,Varidnaviria,1.1672160388330979,2.20666839274828,2.9804841918714393,1.3506715379919023
41,Varidnaviria,1.1672160388330979,2.6684092108125697,3.6945074279794623,1.38453555511991
42,Varidnaviria,1.1672160388330979,2.305731633219388,3.0897429157392615,1.3400271181712486
43,Varidnaviria,1.1672160388330979,5.772997284766387,7.962345081133102,1.3792393601403388
44,Varidnaviria,1.1684821920262425,4.381032422349498,5.7615464008261705,1.3151115639852575
45,Varidnaviria,1.1684821920262425,3.351880450228275,4.480917823006178,1.3368370052401517
46,Varidnaviria,1.1684821920262425,4.270691919613605,5.680854905637206,1.3301954373124594
47,Varidnaviria,1.1684821920262425,6.2875200562659375,8.424247790467176,1.3398363289627748
48,Varidnaviria,1.1684821920262425,4.2815914195532505,5.697609611879411,1.3307224005213252
49,Varidnaviria,1.1664711469068467,3.9630187635940257,5.243595360838652,1.3231316008413958
50,Varidnaviria,1.1664711469068467,3.673430460352335,4.878849182363171,1.328145240537702
51,Varidnaviria,1.1662732049015934,3.4694655217583725,4.78864522819287,1.3802256278845852
52,Varidnaviria,1.1662732049015934,4.006027893941897,5.378891955480079,1.3426995762097145
53,Varidnaviria,1.1662732049015934,5.69883661250408,7.825748037592408,1.3732185303262727
54,Varidnaviria,1.165913786131645,5.7653941655670575,7.951739640655892,1.379218733759168
55,Varidnaviria,1.1658020838499148,6.215829576485254,8.5244161471532,1.3714044187120942
56,Varidnaviria,1.1657151732978683,3.6394489216180728,4.9031993195778245,1.3472367452262244
57,Varidnaviria,1.1657151732978683,3.641129435277685,5.01946628247464,1.3785465119264122
