Sublevel Name,pp_magtropy,pp_avg_magnitude,entropy
Deltacoronavirus,101.56594029383957,139.7267869548938,1.375724839947835
Deltacoronavirus,101.59443368328515,139.75053944714355,1.3755727984350785
Deltacoronavirus,20.445604207127648,28.186152811212434,1.3785923138131724
Deltacoronavirus,37.49878932328165,51.307727319282385,1.3682502354129942
Deltacoronavirus,101.57446428642918,139.72164622151487,1.3755587804776868
Deltacoronavirus,101.56185820510541,139.7250395890348,1.3757629296901832
Deltacoronavirus,101.57465186443119,139.72128232726618,1.3755526577019257
Deltacoronavirus,101.70191652843276,139.87922454104466,1.3753843517977233
Deltacoronavirus,101.55907348886431,139.71971143404966,1.3757481890514642
Deltacoronavirus,103.73147005845028,141.54754136121764,1.364557364138953
Deltacoronavirus,37.472860700121664,51.30916409193826,1.3692353114575977
Deltacoronavirus,104.87440112681763,142.60374790145144,1.359757446710091
Deltacoronavirus,101.38961642798566,139.45596952564247,1.3754462679587542
Deltacoronavirus,102.18414721279777,140.64290298305272,1.3763671451909743
Deltacoronavirus,37.494329372245915,51.32733333782335,1.3689358950320876
Deltacoronavirus,103.38872622352983,142.8048257751338,1.3812417561503278
Deltacoronavirus,101.33801743802466,139.42194054648567,1.3758108168215548
Deltacoronavirus,102.13953353813662,140.59329234857344,1.3764826162641428
Deltacoronavirus,101.53847839895836,139.69670981610884,1.3758007015549478
Deltacoronavirus,101.55613243629503,139.699764943907,1.3755916220178928
Deltacoronavirus,20.407682489011766,28.15346130294299,1.3795521033856653
Deltacoronavirus,101.68455510060467,139.8398525756448,1.3752319852045383
Deltacoronavirus,101.5493403354222,139.68696619676885,1.375557593337153
Deltacoronavirus,101.33533620838588,139.45303041222158,1.3761540211940533
Deltacoronavirus,101.52275090512605,139.64799745332215,1.3755340178264526
Deltacoronavirus,37.50219516827966,51.307727319282385,1.3681259747344017
Deltacoronavirus,16.423114072041482,22.72272735330744,1.383582142438525
Deltacoronavirus,101.4006114217832,139.54154590927925,1.3761410700853278
Deltacoronavirus,101.58711413329091,139.75197979757675,1.3756860896177274
Deltacoronavirus,101.55653689251065,139.66829518730924,1.3752762693664593
Deltacoronavirus,37.4770874334656,51.30916409193826,1.3690808866358475
Deltacoronavirus,37.47496539205903,51.30916409193826,1.3691584116261972
Deltacoronavirus,101.59085268753402,139.82906328982685,1.376394228325883
Deltacoronavirus,101.4771262526345,139.6014888737786,1.3756941493024821
Deltacoronavirus,101.33920778266571,139.53203379381515,1.3768810398938445
Deltacoronavirus,101.5896165970594,139.75721188240254,1.3757037044123261
Deltacoronavirus,101.45720082385134,139.62454037806913,1.3761915294754035
Deltacoronavirus,101.44377449875782,139.56146111159694,1.3757518566435625
Deltacoronavirus,101.51318120109143,139.63014319714867,1.3754878090220606
Deltacoronavirus,103.94561202732224,142.85560171305931,1.3743302764479326
Deltacoronavirus,101.57370467617594,139.7414005234022,1.375763549915872
Deltacoronavirus,105.03440174021111,142.88293072482116,1.3603441192365093
Deltacoronavirus,104.61640494146731,142.0001826236654,1.357341448533949
Deltacoronavirus,101.59443368328515,139.75053944714355,1.3755727984350785
Deltacoronavirus,101.59633939715008,139.7364556377265,1.375408370684331
Deltacoronavirus,101.57913449621405,139.7107204195043,1.375387978174902
Deltacoronavirus,101.56105582489948,139.720652028293,1.375730597653338
Deltacoronavirus,106.41481221192363,142.13269155559644,1.3356476283822325
Deltacoronavirus,101.58702462401124,139.74300499110853,1.3755989557556025
Deltacoronavirus,105.33950527800282,142.80550417651125,1.3556690227434753
Deltacoronavirus,101.4026836180174,139.49396725525756,1.375643743125473
Deltacoronavirus,101.3931240514092,139.4985992331835,1.375819125194858
Deltacoronavirus,37.47928512077586,51.29578799095143,1.3686437141384182
Deltacoronavirus,104.87440112681763,142.60374790145144,1.359757446710091
Deltacoronavirus,20.407682489011766,28.15346130294299,1.3795521033856653
Deltacoronavirus,101.30851145159546,139.551134212616,1.3774867699965427
Deltacoronavirus,101.44503171733173,139.54864725821972,1.3756084935441746
Deltacoronavirus,101.4342981259879,139.52745284361475,1.375545110691383
Deltacoronavirus,10.246408865110714,13.988414196116667,1.3652016409131962
Deltacoronavirus,101.58362331658434,139.74862010568032,1.3757002904902806
Deltacoronavirus,101.46364590157445,139.5925301302629,1.375788627442736
Deltacoronavirus,103.94561202732224,142.85560171305931,1.3743302764479326
Deltacoronavirus,101.52746016341938,139.67024871321416,1.3756893798820522
Deltacoronavirus,101.35100926920651,139.66829770407014,1.3780651886069137
Deltacoronavirus,101.7859813620899,140.00400001358923,1.3754742857520221
Deltacoronavirus,101.40404284127108,139.50194291591583,1.3757039562444255
Deltacoronavirus,101.56087816495935,139.72056719507793,1.3757321689178195
Deltacoronavirus,101.6931283654901,139.84965308373202,1.3752124192807356
Deltacoronavirus,37.501038748461,51.332939530857445,1.3688404706646717
Deltacoronavirus,101.58005071146157,139.7107204195043,1.3753755726737429
Deltacoronavirus,101.39881091544876,139.50199668148073,1.375775469377094
Deltacoronavirus,101.51213542685299,139.69783058270872,1.3761687703178243
Deltacoronavirus,101.37655342954739,139.47169201330064,1.3757785927317783
Deltacoronavirus,101.58362331658434,139.74862010568032,1.3757002904902806
Deltacoronavirus,101.39839312617144,139.49137584036217,1.3756763942678174
Deltacoronavirus,101.78634144562423,140.00571735677647,1.3754862918574355
Deltacoronavirus,101.31327259373194,139.35163635353146,1.3754529173323031
Deltacoronavirus,102.59661421026523,140.88532438995557,1.3731966251948633
Deltacoronavirus,101.24897017070641,139.2696089387158,1.3755163010932985
