Sublevel Name,pp_magtropy,pp_avg_magnitude,entropy
Nobecovirus,109.87135749783849,149.55361329637105,1.3611701602878006
Nobecovirus,110.02926241477536,149.72906661716522,1.3608113271970705
Nobecovirus,109.9620988899113,149.72675486346148,1.3616214711703585
Nobecovirus,109.70671200601038,149.90013495826656,1.3663715940192807
Nobecovirus,109.63424557898254,149.97053656419772,1.367916892866802
Nobecovirus,110.84478194266524,152.92160925453177,1.3796013359801718
Nobecovirus,110.0369117876155,149.70221186246718,1.360472676218054
Nobecovirus,109.60635764347298,149.93281740077688,1.3679208088318893
Nobecovirus,110.0369117876155,149.70221186246718,1.360472676218054
Nobecovirus,110.84478194266524,152.92160925453177,1.3796013359801718
Nobecovirus,109.6959226767319,149.9402099015983,1.3668713133802084
Nobecovirus,109.59396615144067,149.9268799437826,1.3680212990613785
Merbecovirus,111.15005743799938,151.9358153725526,1.366943201602068
Merbecovirus,111.11988803672409,151.9060406423593,1.3670463796017844
Merbecovirus,111.04233340924633,151.78384826752014,1.3669007450349682
Merbecovirus,110.84601932283536,151.51745833889123,1.3669183545292831
Merbecovirus,110.79269098151335,151.45470248298258,1.367009873496565
Merbecovirus,110.96216082695132,151.74765150166027,1.3675621524558728
Merbecovirus,111.12124248224329,151.92077381517083,1.3671623032783056
Merbecovirus,111.12069323223892,151.92097775723937,1.3671708962409825
Merbecovirus,111.13265258740763,151.91446548589116,1.3669651713424906
Merbecovirus,111.06766329283435,151.8176621044315,1.3668934557861196
Merbecovirus,109.80823330605833,150.1574553726961,1.3674517005858395
Merbecovirus,111.12069323223892,151.92097775723937,1.3671708962409825
Merbecovirus,110.58515505038346,151.19589637017143,1.3672350172252812
Merbecovirus,111.10655983646953,151.86978089616343,1.3668840176465784
Merbecovirus,111.13017844785121,151.9286950810344,1.3671236490664707
Merbecovirus,110.85949489391966,151.5332264426808,1.3668944332434623
Merbecovirus,113.04694111086846,152.69439251688513,1.3507167112742418
Merbecovirus,111.14462988853326,151.92463255561762,1.3669093388315976
Merbecovirus,111.14489540436743,151.9340595856145,1.3669908908803046
Merbecovirus,109.32688935304479,150.831292382851,1.3796358176420602
Merbecovirus,110.99270334568818,151.74844876556136,1.3671930153186638
Merbecovirus,111.07213110251664,151.81425815818005,1.3668078270512296
Merbecovirus,109.87559133015927,150.21703659895607,1.3671556601463646
Merbecovirus,111.14919649283877,151.92327404978158,1.3668409565117265
Merbecovirus,111.07666992805856,151.83713334708088,1.3669579169543145
Merbecovirus,111.07701367574269,151.86988568999527,1.3672485482310104
Merbecovirus,111.13607429496906,151.92151947088877,1.3669865562073933
Merbecovirus,110.93363151862188,151.6666350269239,1.367183539839894
Merbecovirus,111.07821960898781,151.83428061803727,1.3669131640074623
Merbecovirus,109.49119122840236,149.72012990708294,1.3674171248604068
Merbecovirus,111.12364061148178,151.9194870194511,1.3671212190626711
