Sublevel Name,Int1,Int2,Real,EIIP,PP,PairedNumeric,JustA,JustC,JustG,JustT
Pararnavirae,41.224096080954894,41.94875020101601,46.403741570257516,0.8563535068524406,36.05344755335892,35.914713565830716,15.346785326835391,16.278458988293853,15.12188427594407,16.42661318993696
Pararnavirae,41.59735027726832,42.321094230498346,46.656338106388006,0.8610189546244097,36.192708697436906,35.955198105287,15.330990557842558,16.156261082257117,15.226245231934607,16.44912071618233
Pararnavirae,37.73815024416685,38.409311548059314,42.382476635806384,0.7812095475956103,32.840779589953364,32.86993745515281,14.063568028918954,14.834036293078384,13.77339572263546,15.050197215623099
Pararnavirae,41.551050012033826,42.275282996474765,46.5701725221992,0.8666366920564975,36.2594882402826,35.87942460006373,15.353973628503008,16.398647977705888,15.310919143159659,16.462344189778694
Pararnavirae,40.71759507540448,41.442162866449,45.63084553405922,0.8449045240550428,35.57258485637357,35.353942958546284,15.042908549872656,15.885958292153306,14.877141325584095,16.174281065197764
Pararnavirae,62.28666607296805,63.026692386123,79.15792596624036,1.258238099986074,57.68410354312113,57.15818986409244,28.35852780456175,23.783505987741687,23.333002922981617,24.802292645907034
Pararnavirae,41.3337222029712,42.0580173104537,46.76449355275543,0.8608202809803571,36.23116698064074,35.96185143571298,15.406967797415534,16.334511665566122,15.206502303531899,16.50597026305154
Pararnavirae,41.40530899082026,42.129889129669095,46.7282684644071,0.86310397701525,36.225085178435606,36.009796332152376,15.312257289221614,16.349237132031757,15.242239044548219,16.538557720841155
Pararnavirae,40.912593865404254,41.63680620615108,45.94794797939128,0.8553565435898367,35.541928711484374,35.48288519929761,15.066500685713603,16.138929648597138,15.093080548974765,16.241179852788242
Pararnavirae,66.2591752160048,66.98484138547633,83.54273117996921,1.379128298341997,59.303488996588335,60.083069364863235,29.470035258237623,23.276392470575797,26.06057061874523,25.49983105782881
Pararnavirae,67.99549386821289,68.73737625062756,85.86938843097873,1.4110325366238887,60.97563126212223,61.08676262137016,30.200251829981237,23.843427797542706,26.629841806933502,25.974967594840656
Pararnavirae,41.22528786704526,41.949949192140494,46.78551968429863,0.8579576218766275,36.28021152443617,36.01117285965853,15.498519088386997,16.39732171983591,15.136431614548052,16.51174815433365
Pararnavirae,41.383062257074954,42.10756181712328,46.6920777516088,0.8617536854366822,36.20083833410026,35.956191343284644,15.347427323401181,16.33318173775975,15.216419568916766,16.548065523770873
Pararnavirae,69.41544127970884,70.1507218559128,86.17923214178546,1.4514288903619101,61.809000063285986,62.152518861288,30.09960693949214,24.50152424075591,27.38561153866512,26.29665816808731
Pararnavirae,41.243731744061165,41.9683521473865,46.56914230387056,0.8572617605447936,36.105638459048976,35.99875301355598,15.37899688855798,16.24758236738923,15.145292790124083,16.487418758889905
Pararnavirae,41.24602155131712,41.97054989386382,46.5131113267229,0.8566598658835992,36.08509590033671,35.978380779498174,15.407446814464048,16.211178545792006,15.133756668360904,16.43330530575371
Pararnavirae,64.46923644049707,65.19266520176049,73.56438703353574,1.3774782471112457,55.914990762418,56.29407316414796,24.439748038117497,23.994781888946633,25.566677877088,23.815150680612668
Pararnavirae,62.11137812909888,62.85236932985014,79.79601724187998,1.249573401708593,57.73069314777077,57.278102634580605,28.544617527656733,23.802852696033185,23.23641161100919,25.060987682901693
Pararnavirae,41.7323872754654,42.456826212282174,46.78953297686846,0.8646734435310697,36.2999567496492,35.95733378940445,15.294092053066429,16.27815886910368,15.275074189404938,16.609440832687238
Pararnavirae,62.967845880961626,63.6911414213327,72.42165273413018,1.3502841226835192,54.98308796721796,55.24633145593444,24.115891292344898,23.683938696009246,25.106778110970886,23.306254965631584
Pararnavirae,41.60468867257735,42.32839425699889,46.75784448164159,0.8611120594119196,36.21899452866084,35.93334331172576,15.338081568927853,16.199686463577972,15.215953554643388,16.46931007944834
Pararnavirae,68.25085822788867,68.99121366175441,86.15523986766514,1.4111842587748729,60.95398818213012,61.249909299438634,30.230557131617946,23.948019110035627,26.634389468594602,26.219695782120297
Pararnavirae,40.895907311243995,41.6208770084758,45.85555984412561,0.8491772646337034,35.44720156390229,35.51452313606087,14.927948496524692,16.222665537344742,14.96106239469281,16.256286469688018
Pararnavirae,41.60274992729603,42.32642006576549,46.85623523739634,0.8608683304153925,36.19944353900277,35.93304653601707,15.391465313296454,16.174031803512104,15.211879650665423,16.432905790350592
Pararnavirae,68.01509549989704,68.75065625927571,84.74557662429713,1.4257322319205312,60.46926025887202,61.138054585754496,29.642187884809164,23.991931037425925,26.90120775633913,25.807293453585114
Pararnavirae,41.22698234637318,41.951310244199306,46.5788254249359,0.8587502373590948,35.920836896294404,35.951483147475514,15.33202028954233,16.2325384848142,15.17353909633802,16.43993493660056
Pararnavirae,41.198592664468606,41.92318293859678,46.583612673423595,0.8556532830159522,35.92458919180802,35.9451159584661,15.351042586514005,16.237806382209847,15.109375789993434,16.471507027315827
Pararnavirae,64.99301258550017,65.71541434251219,75.93675257462722,1.386456596918627,57.87602319635861,57.990046452521455,25.511696327538417,25.583876390146923,25.755493553827492,24.33729078956713
Pararnavirae,40.851907642773604,41.56408341150057,45.776688247074745,0.8405340344817183,35.673508431258945,35.370465900696175,15.15638843492994,15.877868713493212,14.8588239954009,16.242241826571764
Pararnavirae,39.825941429108006,40.55108711182264,44.7349431581955,0.8279827723429395,34.943714154174614,35.13211604958048,14.717602393426583,16.077203326811524,14.557084238752122,16.022671829960846
Pararnavirae,41.488193319686,42.21036046968141,46.64366854504692,0.8589815106064924,36.11709678906692,35.809897659775935,15.342025767526527,16.28062150543512,15.199760472918415,16.47342609622154
